date,steps
2019-06-08,2910
2019-06-09,7015
2019-06-10,7550
2019-06-11,7820
2019-06-12,7456
2019-06-13,9015
2019-06-14,9106
2019-06-15,5676
2019-06-16,6635
2019-06-17,10146
2019-06-18,13355
2019-06-19,9718
2019-06-20,11063
2019-06-21,19881
2019-06-22,7991
2019-06-23,8176
2019-06-24,10704
2019-06-25,10386
2019-06-26,9092
2019-06-27,8119
2019-06-28,9560
2019-06-29,6300
2019-06-30,7783
2019-07-01,10425
2019-07-02,9793
2019-07-03,8835
2019-07-04,6489
2019-07-05,8766
2019-07-06,7039
2019-07-07,7549
2019-07-08,9375
2019-07-09,9441
2019-07-10,9530
2019-07-11,9897
2019-07-12,10401
2019-07-13,6980
2019-07-14,9720
2019-07-15,12104
2019-07-16,9342
2019-07-17,7174
2019-07-18,8441
2019-07-19,14560
2019-07-20,17117
2019-07-21,5288
2019-07-22,11627
2019-07-23,8947
2019-07-24,9659
2019-07-25,11689
2019-07-26,11405
2019-07-27,4512
2019-07-28,8967
2019-07-29,10199
2019-07-30,14740
2019-07-31,10960
2019-08-01,9270
2019-08-02,11696
2019-08-03,11113
2019-08-04,7315
2019-08-05,7586
2019-08-06,12013
2019-08-07,8784
2019-08-08,9663
2019-08-09,8491
2019-08-10,12893
2019-08-11,7142
2019-08-12,9807
2019-08-13,9468
2019-08-14,11538
2019-08-15,11181
2019-08-16,17999
2019-08-17,9443
2019-08-18,7886
2019-08-19,11129
2019-08-20,5502
2019-08-21,14800
2019-08-22,6264
2019-08-23,10045
2019-08-24,7815
2019-08-25,8890
2019-08-26,10526
2019-08-27,8846
2019-08-28,9834
2019-08-29,10341
2019-08-30,8245
2019-08-31,7699
2019-09-01,8137
2019-09-02,7291
2019-09-03,8923
2019-09-04,10521
2019-09-05,12276
2019-09-06,9387
2019-09-07,7531
2019-09-08,8799
2019-09-09,5981
2019-09-10,10792
2019-09-11,13789
2019-09-12,10196
2019-09-13,8728
2019-09-14,5798
2019-09-15,4650
2019-09-16,5550
2019-09-17,10192
2019-09-18,10931
2019-09-19,6065
2019-09-20,9321
2019-09-21,6912
2019-09-22,10002
2019-09-23,12027
2019-09-24,11122
2019-09-25,10172
2019-09-26,8823
2019-09-27,11396
2019-09-28,7914
2019-09-29,10543
2019-09-30,7867
2019-10-01,6887
2019-10-02,12739
2019-10-03,8214
2019-10-04,8713
2019-10-05,4026
2019-10-06,8279
2019-10-07,9983
2019-10-08,11238
2019-10-09,8743
2019-10-10,11396
2019-10-11,10016
2019-10-12,5981
2019-10-13,8091
2019-10-14,6728
2019-10-15,13257
2019-10-16,10766
2019-10-17,7803
2019-10-18,10472
2019-10-19,7748
2019-10-20,8650
2019-10-21,6822
2019-10-22,9356
2019-10-23,9217
2019-10-24,6836
2019-10-25,9753
2019-10-26,10854
2019-10-27,6189
2019-10-28,10736
2019-10-29,10192
2019-10-30,9318
2019-10-31,11780
2019-11-01,12574
2019-11-02,6430
2019-11-03,3484
2019-11-04,9555
2019-11-05,6348
2019-11-06,5201
2019-11-07,5522
2019-11-08,20037
2019-11-09,7491
2019-11-10,6757
2019-11-11,3022
2019-11-12,10067
2019-11-13,7020
2019-11-14,10764
2019-11-15,4331
2019-11-16,8092
2019-11-17,6064
2019-11-18,7908
2019-11-19,8978
2019-11-20,6826
2019-11-21,7588
2019-11-22,9912
2019-11-23,2264
2019-11-24,7236
2019-11-25,8001
2019-11-26,8090
2019-11-27,8629
2019-11-28,1507
2019-11-29,8814
2019-11-30,5750
2019-12-01,6219
2019-12-02,6466
2019-12-03,7269
2019-12-04,6687
2019-12-05,6493
2019-12-06,10426
2019-12-07,2803
2019-12-08,5792
2019-12-09,4991
2019-12-10,4299
2019-12-11,4851
2019-12-12,7327
2019-12-13,6109
2019-12-14,3992
2019-12-15,10162
2019-12-16,4663
2019-12-17,9993
2019-12-18,8324
2019-12-19,5901
2019-12-20,7981
2019-12-21,7304
2019-12-22,2524
2019-12-23,3818
2019-12-24,4580
2019-12-25,1493
2019-12-26,9511
2019-12-27,11604
2019-12-28,6164
2019-12-29,3172
2019-12-30,4898
2019-12-31,1633
2020-01-01,1488
2020-01-02,1400
2020-01-03,1692
2020-01-04,3075
2020-01-05,1140
2020-01-06,5851
2020-01-07,5458
2020-01-08,5158
2020-01-09,6659
2020-01-10,7951
2020-01-11,4443
2020-01-12,3974
2020-01-13,4727
2020-01-14,9302
2020-01-15,5575
2020-01-16,7848
2020-01-17,2174
2020-01-18,5148
2020-01-19,3554
2020-01-20,8220
2020-01-21,4393
2020-01-22,5910
2020-01-23,4886
2020-01-24,8793
2020-01-25,2202
2020-01-26,2183
2020-01-27,4918
2020-01-28,4698
2020-01-29,1263
2020-01-30,7091
2020-01-31,3977
2020-02-01,1824
2020-02-02,8117
2020-02-03,4862
2020-02-04,4968
2020-02-05,4966
2020-02-06,6325
2020-02-07,3161
2020-02-08,3831
2020-02-09,3861
2020-02-10,8634
2020-02-11,7068
2020-02-12,7117
2020-02-13,8399
2020-02-14,12512
2020-02-15,6784
2020-02-16,3498
2020-02-17,4363
2020-02-18,7254
2020-02-19,3986
2020-02-20,7326
2020-02-21,11186
2020-02-22,1536
2020-02-23,3478
2020-02-24,6043
2020-02-25,4394
2020-02-26,5219
2020-02-27,8401
2020-02-28,4940
2020-02-29,5041
2020-03-01,8780
